dimension,alpha_krippendorff_ordinal,ic95_inferior,ic95_superior,n_requisitos,n_evaluadores,metodo_ic
COM,-0.015110,-0.192389,0.134561,50,3,"bootstrap percentil, B=2000, semilla=20260916"
AMB,-0.003284,-0.181166,0.163364,50,3,"bootstrap percentil, B=2000, semilla=20260916"
VER,0.027043,-0.142187,0.168191,50,3,"bootstrap percentil, B=2000, semilla=20260916"
COR,-0.002534,-0.173539,0.153214,50,3,"bootstrap percentil, B=2000, semilla=20260916"
CON,-0.015110,-0.182721,0.134524,50,3,"bootstrap percentil, B=2000, semilla=20260916"
