"dimension","contraste","beta","error_estandar","z","p_crudo","p_holm","odds_ratio","or_ic95_inferior","or_ic95_superior","aic","logLik","estado","significativo_holm"
"COM","LLM vs Humano",-0.266899,0.31186,-0.85583,0.392092,1,0.76575,0.415553,1.411068,304.566619,-147.28331,"SIN_ADVERTENCIAS",FALSE
"AMB","LLM vs Humano",-0.282666,0.330871,-0.854308,0.392934,1,0.753772,0.394091,1.441726,303.911957,-146.955978,"SIN_ADVERTENCIAS",FALSE
"VER","LLM vs Humano",-0.280637,0.343539,-0.816901,0.413985,1,0.755302,0.385207,1.480973,306.288906,-148.144453,"SIN_ADVERTENCIAS",FALSE
"COR","LLM vs Humano",-0.302747,0.322351,-0.939182,0.347637,1,0.738786,0.39276,1.389664,301.893591,-145.946795,"SIN_ADVERTENCIAS",FALSE
"CON","LLM vs Humano",-0.266899,0.31186,-0.85583,0.392092,1,0.76575,0.415553,1.411068,304.566619,-147.28331,"SIN_ADVERTENCIAS",FALSE
