nombre_o_codigo;perfil_breve;independencia_verificada;consentimiento_firmado;fecha_consentimiento;instrucciones_entregadas;fecha_inicio_evaluacion;fecha_entrega_hoja;archivo_hoja_puntuacion;observaciones
EV-01;Ingeniero de Software con experiencia en R.R.;SI;SI;2026-09-11;SI;2026-09-11;2026-09-11;EV-01_hoja_puntuacion.csv;
EV-02;Estudiante de 5to nivel de Software;SI;SI;2026-09-11;SI;2026-09-11;2026-09-11;EV-02_hoja_puntuacion.csv;
EV-03;Profesional en TI, especialista en QA;SI;SI;2026-09-11;SI;2026-09-11;2026-09-11;EV-03_hoja_puntuacion.csv;
